police_station_id,police_station,district_name,is_lahore,ref_date,horizon_days,risk_score,rank_in_punjab,rank_in_lahore,prior_30d_ps_count,prior_30d_district_count,days_to_next_major_religious,days_to_next_political,misinfo_event_district_14d,generated_at
745,Kahna,Lahore,True,2026-06-29,30,0.9902215222258542,1,1.0,1,20,58,46,False,2026-06-24 06:54:58.735820
637,Chung,Lahore,True,2026-06-29,30,0.9896400111344482,2,2.0,0,20,58,46,False,2026-06-24 06:54:58.735820
744,Nisthar Colony,Lahore,True,2026-06-29,30,0.9895524017761804,3,3.0,0,20,58,46,False,2026-06-24 06:54:58.735820
14,Ferozewala,Sheikhupura,False,2026-06-29,30,0.9865748241667152,4,,1,9,58,46,False,2026-06-24 06:54:58.735820
170,Sadiqabad,Rawalpindi,False,2026-06-29,30,0.9823939022084645,5,,0,4,58,46,False,2026-06-24 06:54:58.735820
640,Raiwind City,Lahore,True,2026-06-29,30,0.9761705053454809,6,4.0,0,20,58,46,False,2026-06-24 06:54:58.735820
307,Sadar Faisalabad,Faisalabad,False,2026-06-29,30,0.9708835999414424,7,,2,11,58,46,False,2026-06-24 06:54:58.735820
315,Millat Town,Faisalabad,False,2026-06-29,30,0.961220297643522,8,,1,11,58,46,False,2026-06-24 06:54:58.735820
817,Kot Abdul Malik,Sheikhupura,False,2026-06-29,30,0.9572216141392724,9,,1,9,58,46,False,2026-06-24 06:54:58.735820
748,Factory Area,Lahore,True,2026-06-29,30,0.956098275372463,10,5.0,0,20,58,46,False,2026-06-24 06:54:58.735820
686,Shahdara,Lahore,True,2026-06-29,30,0.9468769616524604,11,6.0,1,20,58,46,False,2026-06-24 06:54:58.735820
670,Kot Lakhpat,Lahore,True,2026-06-29,30,0.9428252387109535,12,7.0,1,20,58,46,False,2026-06-24 06:54:58.735820
642,Sundar,Lahore,True,2026-06-29,30,0.9344963474469224,13,8.0,0,20,58,46,False,2026-06-24 06:54:58.735820
59,Sadar Gujranwala,Gujranwala,False,2026-06-29,30,0.9332550746492937,14,,0,2,58,46,False,2026-06-24 06:54:58.735820
639,Nawab Town,Lahore,True,2026-06-29,30,0.9322840625854185,15,9.0,1,20,58,46,False,2026-06-24 06:54:58.735820
668,Green Town,Lahore,True,2026-06-29,30,0.9278898797155742,16,10.0,1,20,58,46,False,2026-06-24 06:54:58.735820
62,Aroop,Gujranwala,False,2026-06-29,30,0.9160175502752164,17,,0,2,58,46,False,2026-06-24 06:54:58.735820
785,Dhamiyal,Rawalpindi,False,2026-06-29,30,0.911466467945564,18,,0,4,58,46,False,2026-06-24 06:54:58.735820
703,South Cantt.,Lahore,True,2026-06-29,30,0.907687211802853,19,11.0,1,20,58,46,False,2026-06-24 06:54:58.735820
708,Baghbanpura,Lahore,True,2026-06-29,30,0.907491270811536,20,12.0,0,20,58,46,False,2026-06-24 06:54:58.735820
709,Harbanspura,Lahore,True,2026-06-29,30,0.9055116711565196,21,13.0,0,20,58,46,False,2026-06-24 06:54:58.735820
836,Chaklala,Rawalpindi,False,2026-06-29,30,0.9011689645699076,22,,1,4,58,46,False,2026-06-24 06:54:58.735820
651,Nawankot,Lahore,True,2026-06-29,30,0.8966598390152255,23,14.0,0,20,58,46,False,2026-06-24 06:54:58.735820
687,Shahdara Town,Lahore,True,2026-06-29,30,0.8954707181642064,24,15.0,0,20,58,46,False,2026-06-24 06:54:58.735820
311,Madina Town,Faisalabad,False,2026-06-29,30,0.8905953892404224,25,,0,11,58,46,False,2026-06-24 06:54:58.735820
354,Chiniot City,Chiniot,False,2026-06-29,30,0.8873905034342724,26,,0,0,58,46,False,2026-06-24 06:54:58.735820
173,Naseerabad,Rawalpindi,False,2026-06-29,30,0.8819643153616177,27,,0,4,58,46,False,2026-06-24 06:54:58.735820
181,Rawat,Rawalpindi,False,2026-06-29,30,0.8808847647243309,28,,0,4,58,46,False,2026-06-24 06:54:58.735820
128,Sadar,Sialkot,False,2026-06-29,30,0.8798018705719259,29,,0,4,58,46,False,2026-06-24 06:54:58.735820
7,Bhikhi,Sheikhupura,False,2026-06-29,30,0.8751131252411577,30,,0,9,58,46,False,2026-06-24 06:54:58.735820
183,Taxila,Rawalpindi,False,2026-06-29,30,0.8683382916382206,31,,0,4,58,46,False,2026-06-24 06:54:58.735820
705,North Cantt.,Lahore,True,2026-06-29,30,0.8641963910056872,32,16.0,1,20,58,46,False,2026-06-24 06:54:58.735820
710,Manawan,Lahore,True,2026-06-29,30,0.8622880416683719,33,17.0,0,20,58,46,False,2026-06-24 06:54:58.735820
467,A Division,Okara,False,2026-06-29,30,0.8547628249021478,34,,1,2,58,46,False,2026-06-24 06:54:58.735820
169,New Town,Rawalpindi,False,2026-06-29,30,0.8546161768205499,35,,0,4,58,46,False,2026-06-24 06:54:58.735820
379,Seetal Mari,Multan,False,2026-06-29,30,0.8523662294123324,36,,0,1,58,46,False,2026-06-24 06:54:58.735820
1,A Division,Sheikhupura,False,2026-06-29,30,0.850511300267946,37,,1,9,58,46,False,2026-06-24 06:54:58.735820
302,Ghulam Muhammad Abad,Faisalabad,False,2026-06-29,30,0.8504569624812959,38,,0,11,58,46,False,2026-06-24 06:54:58.735820
318,City Jarranwala,Faisalabad,False,2026-06-29,30,0.8502292740565683,39,,0,11,58,46,False,2026-06-24 06:54:58.735820
673,Model PS Gulberg,Lahore,True,2026-06-29,30,0.8455176122686305,40,18.0,2,20,58,46,False,2026-06-24 06:54:58.735820
398,Gulgasht,Multan,False,2026-06-29,30,0.8436491676814883,41,,0,1,58,46,False,2026-06-24 06:54:58.735820
634,Sabzazar,Lahore,True,2026-06-29,30,0.842823568130492,42,19.0,0,20,58,46,False,2026-06-24 06:54:58.735820
323,Khurrianwala,Faisalabad,False,2026-06-29,30,0.8426900796684471,43,,1,11,58,46,False,2026-06-24 06:54:58.735820
312,Sargodha Road,Faisalabad,False,2026-06-29,30,0.841842457673597,44,,1,11,58,46,False,2026-06-24 06:54:58.735820
563,Baghdad ul Jadid,Bahawalpur,False,2026-06-29,30,0.8410152143346911,45,,1,4,58,46,False,2026-06-24 06:54:58.735820
655,Q.G.Singh,Lahore,True,2026-06-29,30,0.8399304303540579,46,20.0,1,20,58,46,False,2026-06-24 06:54:58.735820
471,Sadar Okara,Okara,False,2026-06-29,30,0.838561878473615,47,,0,2,58,46,False,2026-06-24 06:54:58.735820
426,City Mianchannu,Khanewal,False,2026-06-29,30,0.8343544484955139,48,,0,0,58,46,False,2026-06-24 06:54:58.735820
177,Civil Lines,Rawalpindi,False,2026-06-29,30,0.8307840847027554,49,,1,4,58,46,False,2026-06-24 06:54:58.735820
564,Sadar Bahawalpur,Bahawalpur,False,2026-06-29,30,0.8289926692302828,50,,0,4,58,46,False,2026-06-24 06:54:58.735820
695,Shad Bagh,Lahore,True,2026-06-29,30,0.8257850236454016,51,21.0,0,20,58,46,False,2026-06-24 06:54:58.735820
460,Ghalla Mandi,Sahiwal,False,2026-06-29,30,0.8182804332813285,52,,0,1,58,46,False,2026-06-24 06:54:58.735820
167,Waris Khan,Rawalpindi,False,2026-06-29,30,0.8162759067878395,53,,0,4,58,46,False,2026-06-24 06:54:58.735820
432,Sadar Vehari,Vehari,False,2026-06-29,30,0.8103587426326815,54,,0,0,58,46,False,2026-06-24 06:54:58.735820
3,Sadar Shiekhupura,Sheikhupura,False,2026-06-29,30,0.8102146701749158,55,,0,9,58,46,False,2026-06-24 06:54:58.735820
2,B Division,Sheikhupura,False,2026-06-29,30,0.8081257839861479,56,,1,9,58,46,False,2026-06-24 06:54:58.735820
635,Hanjarwal,Lahore,True,2026-06-29,30,0.8061934658363042,57,22.0,0,20,58,46,False,2026-06-24 06:54:58.735820
713,Hair,Lahore,True,2026-06-29,30,0.806147443233544,58,23.0,1,20,58,46,False,2026-06-24 06:54:58.735820
180,Sadar Beruni,Rawalpindi,False,2026-06-29,30,0.8036710911714171,59,,0,4,58,46,False,2026-06-24 06:54:58.735820
15,Factory Area,Sheikhupura,False,2026-06-29,30,0.8025083118507269,60,,0,9,58,46,False,2026-06-24 06:54:58.735820
314,Nishatabad,Faisalabad,False,2026-06-29,30,0.8015779942663681,61,,1,11,58,46,False,2026-06-24 06:54:58.735820
338,Kotwali,Jhang,False,2026-06-29,30,0.8007204158922083,62,,0,3,58,46,False,2026-06-24 06:54:58.735820
124,Cantt Sialkot,Sialkot,False,2026-06-29,30,0.7985460863652927,63,,0,4,58,46,False,2026-06-24 06:54:58.735820
652,Shera Kot,Lahore,True,2026-06-29,30,0.7963837961288744,64,24.0,2,20,58,46,False,2026-06-24 06:54:58.735820
335,Batala Colony,Faisalabad,False,2026-06-29,30,0.7956549537952283,65,,0,11,58,46,False,2026-06-24 06:54:58.735820
134,Ugoki,Sialkot,False,2026-06-29,30,0.7953326261739075,66,,1,4,58,46,False,2026-06-24 06:54:58.735820
662,Gujarpura,Lahore,True,2026-06-29,30,0.7951841135178158,67,25.0,0,20,58,46,False,2026-06-24 06:54:58.735820
319,Sadar Jarranwala,Faisalabad,False,2026-06-29,30,0.7942955869733018,68,,1,11,58,46,False,2026-06-24 06:54:58.735820
452,Yousafwala,Sahiwal,False,2026-06-29,30,0.7918061654759783,69,,0,1,58,46,False,2026-06-24 06:54:58.735820
317,Chak Jhumra,Faisalabad,False,2026-06-29,30,0.7895873383861832,70,,1,11,58,46,False,2026-06-24 06:54:58.735820
