District,Total Cases,Severity_level,Reporting Period
Lahore,928,Critical,Current Dataset (2024 → 2026 YTD)
Faisalabad,381,Critical,Current Dataset (2024 → 2026 YTD)
Sheikhupura,282,High,Current Dataset (2024 → 2026 YTD)
Sialkot,258,High,Current Dataset (2024 → 2026 YTD)
Gujranwala,233,High,Current Dataset (2024 → 2026 YTD)
Rawalpindi,182,High,Current Dataset (2024 → 2026 YTD)
Multan,123,Medium,Current Dataset (2024 → 2026 YTD)
Sargodha,120,Medium,Current Dataset (2024 → 2026 YTD)
Sahiwal,118,Medium,Current Dataset (2024 → 2026 YTD)
Kasur,117,Medium,Current Dataset (2024 → 2026 YTD)
Okara,106,Medium,Current Dataset (2024 → 2026 YTD)
Rahimyar Khan,91,Medium,Current Dataset (2024 → 2026 YTD)
Khanewal,90,Medium,Current Dataset (2024 → 2026 YTD)
Bahawalpur,71,Medium,Current Dataset (2024 → 2026 YTD)
Vehari,71,Medium,Current Dataset (2024 → 2026 YTD)
Nankana Sb,67,Medium,Current Dataset (2024 → 2026 YTD)
Mianwali,67,Medium,Current Dataset (2024 → 2026 YTD)
Bahawalnagar,63,Medium,Current Dataset (2024 → 2026 YTD)
T.T. Singh,62,Medium,Current Dataset (2024 → 2026 YTD)
Chakwal,59,Medium,Current Dataset (2024 → 2026 YTD)
Jhang,57,Medium,Current Dataset (2024 → 2026 YTD)
Gujrat,56,Medium,Current Dataset (2024 → 2026 YTD)
Muzaffargarh,55,Medium,Current Dataset (2024 → 2026 YTD)
Narowal,51,Medium,Current Dataset (2024 → 2026 YTD)
Khushab,48,Low,Current Dataset (2024 → 2026 YTD)
Layyah,47,Low,Current Dataset (2024 → 2026 YTD)
M.B. Din,40,Low,Current Dataset (2024 → 2026 YTD)
Chiniot,39,Low,Current Dataset (2024 → 2026 YTD)
D.G. Khan,37,Low,Current Dataset (2024 → 2026 YTD)
Pakpattan,35,Low,Current Dataset (2024 → 2026 YTD)
Attock,32,Low,Current Dataset (2024 → 2026 YTD)
Hafizabad,27,Low,Current Dataset (2024 → 2026 YTD)
Rajanpur,26,Low,Current Dataset (2024 → 2026 YTD)
Jhelum,25,Low,Current Dataset (2024 → 2026 YTD)
Bhakkar,23,Low,Current Dataset (2024 → 2026 YTD)
Lodhran,21,Low,Current Dataset (2024 → 2026 YTD)
Murree,2,Low,Current Dataset (2024 → 2026 YTD)
